1, 1
3,87661006363033, 3,01422405104387
6,75322012726066, 4,89416649868482
9,62983019089099, 6,63982734292284
12,5064402545213, 8,25120658375793
15,3830503181517, 9,72830422119011
18,259660381782, 11,0711202552194
21,1362704454123, 12,2796546858457
24,0128805090426, 13,3539075130691
26,889490572673, 14,2938787368895
29,7661006363033, 15,0995683573071
32,6427106999336, 15,7709763743217
35,519320763564, 16,3081027879334
38,3959308271943, 16,7109475981422
41,2725408908246, 16,979510804948
44,149150954455, 17,113792408351
47,0257610180853, 17,113792408351
49,9023710817156, 16,979510804948
52,778981145346, 16,7109475981422
55,6555912089763, 16,3081027879334
58,5322012726066, 15,7709763743217
61,408811336237, 15,0995683573071
64,2854213998673, 14,2938787368895
67,1620314634976, 13,3539075130691
70,038641527128, 12,2796546858457
72,9152515907583, 11,0711202552194
75,7918616543886, 9,72830422119011
78,668471718019, 8,25120658375793
81,5450817816493, 6,63982734292284
84,4216918452797, 4,89416649868482
87,29830190891, 3,01422405104387
