36, 172
47,3113522126947, 178,530612244898
58,6227044253894, 184,8
69,9340566380841, 190,808163265306
81,2454088507788, 196,555102040816
92,5567610634735, 202,040816326531
103,868113276168, 207,265306122449
115,179465488863, 212,228571428571
126,490817701558, 216,930612244898
137,802169914252, 221,371428571429
149,113522126947, 225,551020408163
160,424874339642, 229,469387755102
171,736226552337, 233,126530612245
183,047578765031, 236,522448979592
194,358930977726, 239,657142857143
205,670283190421, 242,530612244898
216,981635403115, 245,142857142857
228,29298761581, 247,49387755102
239,604339828505, 249,583673469388
250,9156920412, 251,412244897959
262,227044253894, 252,979591836735
273,538396466589, 254,285714285714
284,849748679284, 255,330612244898
296,161100891978, 256,114285714286
307,472453104673, 256,636734693877
318,783805317368, 256,897959183673
330,095157530063, 256,897959183673
341,406509742757, 256,636734693877
352,717861955452, 256,114285714286
364,029214168147, 255,330612244898
375,340566380841, 254,285714285714
386,651918593536, 252,979591836734
397,963270806231, 251,412244897959
409,274623018926, 249,583673469388
420,58597523162, 247,49387755102
431,897327444315, 245,142857142857
443,20867965701, 242,530612244898
454,520031869704, 239,657142857143
465,831384082399, 236,522448979592
477,142736295094, 233,126530612245
488,454088507789, 229,469387755102
499,765440720483, 225,551020408163
511,076792933178, 221,371428571428
522,388145145873, 216,930612244898
533,699497358567, 212,228571428571
545,010849571262, 207,265306122449
556,322201783957, 202,04081632653
567,633553996651, 196,555102040816
578,944906209346, 190,808163265306
590,256258422041, 184,8
